Cause,Title,No_of_victims
Falls, Employee Slips And Falls Five Feet To The Ground ,Single
Falls, Employee Injures Head  Shoulders And Ribs In Fall From Truck ,Single
Falls, Worker Sustains Fracture When Truck Backs Up Over Foot ,Single
Falls, Employee Is Run Over By Tractor  Sustains Fractures ,Single
Falls, Employee Falls 16 Feet To The Ground ,Single
Collapse of object, Laborer Falls 12 Feet To Concrete Ground Through Floor Hole ,Single
Struck By Moving Objects, Employee Is Injured In Fall Through Floor Opening ,Single
Falls, Employee Is Injured In Fall Through Floor Opening ,Single
Collapse of object, Carpenter Injued In Fall Through Floor Joists ,Single
Exposure to extreme temperatures, Employee Is Injured When Scissor Lift Falls Through Drywall ,Single
Falls, Employee Is Injured In Fall Through Hole In Floor ,Single
Falls, Employee Is Injured In Fall Through Floor Opening ,Single
Falls, Employee Is Injured In Fall From First Floor Level ,Single
Falls, Employee Is Injured In Fall Through Hole In Floor ,Single
Falls, Employee Is Injured In Fall Through Hole In Roof ,Single
Falls, Carpenter Is Injured In Fall Through Covered Hole ,Single
Falls, Employee Is Injured In Fall Through Bar Grating Floor ,Single
Collapse of object, Employee Is Killed In Fall Through Unguarded Hole In Floor ,Single
Falls, Employee Is Injured In Fall Through Floor Opening ,Single
Falls, Worker Is Seriously Injured In Fall Through Floor Opening ,Single
Other, Employee Lacerates Toe With Pallet Jack  Later Amputated ,Single
Fires and Explosion, Employee Falls Through Opening And Fractures Spine And Heel ,Single
Other, Employee Fractures Face In Fall Through Floor Opening ,Single
Suffocation, Employee Fingers Are Crushed In Fall  Later Amputated ,Single
Fires and Explosion, Construction Worker Is Injured In Fall ,Single
Fires and Explosion, Farm Worker Fractures Vertebra In Fall ,Single
Fires and Explosion, Employee Is Burned In Flash Fire ,Single
Fires and Explosion, Employee Dies After A Fall Through A Floor Opening ,Single
Falls, Employee Is Injured In Fall Through Well Opening ,Single
Struck By Moving Objects, Employee Falls From Roof And Later Dies ,Single
Struck By Moving Objects, Employee Is Engulfed In Grain Bin ,Single
Electrocution, Two Employees Die Of Asphyxia When Buried By Sand ,Multiple
Struck By Moving Objects, Employee Asphyxiated When Buried After Fall Into Gravel Bin ,Single
Struck By Moving Objects, Employee Is Trapped In Mixing Hopper ,Single
Struck By Moving Objects, Worker'S Finger Is Crushed In Filling Machine Accident ,Single
Struck By Moving Objects, Employee'S Leg Is Fractured By Falling Door ,Single
Caught in/between Objects, Employee Dies From Asphyxia In Bin When Engulfed By Grain ,Single
Caught in/between Objects, Employee Dies Of Asphyxia When Engulfed In Grain Bin ,Single
Caught in/between Objects, Employee'S Finger Amputated When Die Fell From Chuck ,Single
Struck By Moving Objects, Employee Killed When Asphyxiated In Grain Storage Bin ,Single
Struck By Moving Objects, Employee Dies Of Asphyxia When Buried In Wheat Bin ,Single
Struck By Moving Objects, Employee Dies Of Asphyxia When Buried In Grain Bin ,Single
Struck By Moving Objects, Employee Dies Of Asphyxia When Engulfed By Material ,Single
Caught in/between Objects, Employee'S Hand Is Struck By Plastic Block And Is Injured ,Single
Falls, Employee Suffers Fractures In Fall From Roof ,Single
Caught in/between Objects, Employee Dies From Injuries Suffered In Severe Weather ,Single
Caught in/between Objects, Employee'S Head Is Struck By Silo Section  Later Dies ,Single
Other, Employee Is Struck By Flying Lid  Later Dies ,Single
Other, Employee Is Killed When Struck By Hatch Lid ,Single
Other, Worker Fractures Hand In Hobart Meat Tenderizer Machine ,Single
Struck By Moving Objects, Worker Amputates Tip Of Finger On Pneumatic Muffin Depositor ,Single
Caught in/between Objects, Employee'S Thumb Is Amputated In Meat Mixer ,Single
Other, Mechanic Suffers Amputation While Repairing Processor ,Single
Other, Fruit Juice Canning Worker Burned By Hot Water And Steam ,Single
Caught in/between Objects, Food Service Worker Crushes Hand In Canning Machine ,Single
Other, Employee Lacerates Finger Caught In Seamer Machine ,Single
Falls, Worker'S Hand Is Caught And Lacerated In Packaging Machine ,Single
Other, Worker Fractures Hand And Wrist On Unguarded Conveyor Line ,Single
Other, Worker Loses Fingers In Industrial Blender ,Single
Struck By Moving Objects, Employee'S Fingers Are Injured When Caught In Machine ,Single
Falls, Food Worker Amputates Three Fingers On Meat Slicer ,Single
Other, Employee'S Finger Is Amputated By Conveyer Sprocket ,Single
Struck By Moving Objects, Employee'S Hand Is Injured When Caught In Machine ,Single
Struck By Moving Objects, Employee Is Killed By Gunshot During Burglary ,Single
Struck By Moving Objects, Restaurant Hostess Slips On Wet Floor And Fractures Femur ,Single
Caught in/between Objects, Meat Clerk Amputates Tip Of Finger In Meat Cutting Machine ,Single
Struck By Moving Objects, Employee Burns Wrist And Forearm When Hot Candy Splashes ,Single
Other, Employee Sustains Lacerations When Forklift Runs Over Foot ,Single
Caught in/between Objects, Employee Falls Off Ladder  Fractures Heel ,Single
Caught in/between Objects, Worker Amputates Finger Tip In Paper Corrugating Machine ,Single
Caught in/between Objects, Employee Fractures Feet When Caught Between Box And Pipe ,Single
Other, Employee'S Foot Is Crushed By Hydraulic Pallet Jack ,Single
Caught in/between Objects, Employee Suffers Foot Fracture When Rolled Over By Wheel ,Single
Other, Employee Amputates Finger While Cleaning Dought Depositor ,Single
Falls, Employee Is Crushed Between Streering Wheel And Trailer ,Single
Struck By Moving Objects, Employee Lacerates Hand On Metal Lathe ,Single
Caught in/between Objects, Worker Amputates Fingers When Saw Actuates ,Single
Caught in/between Objects, Employee Amputates Finger In Pneumatic Punch Press ,Single
Caught in/between Objects, Employee Amputates Thumb In Alligator Shear ,Single
Struck By Moving Objects, Employee Finger Is Amputated In Notcher Machine ,Single
Struck By Moving Objects, Employee Hand Is Caught In Welder  Amputates Fingers ,Single
Other, Employee'S Fingers Are Caught In Machine  Are Amputated ,Single
Struck By Moving Objects, Employee'S Fingers Are Amputated By Punch Press ,Single
Other, Employee Crushes Fingers In Hydraulic Press Brake ,Single
Caught in/between Objects, Employee'S Hand Gets Mashed By An End Form Press Machine ,Single
Other, Employee Gets Finger Amputated By A Mechanical Press ,Single
Struck By Moving Objects, Employee Injures Finger When Caught By Punch Press ,Single
Struck By Moving Objects, Worker Amputates Eight Fingers In Press ,Single
Caught in/between Objects, Employee Amputates Finger In Power Press Guard ,Single
Struck By Moving Objects, Press Brake Operator Amputates Three Fingers When Ram Lowers ,Single
Other, Press Operator Amputates Thumb In Active Press Cycle ,Single
Caught in/between Objects, Worker Amputates Fingers Operating Unguarded Press Brake ,Single
Other, Employee Amputates Fingers When Mechanical Press Activates ,Single
Caught in/between Objects, Employee Amputates Finger In Crimping Machine ,Single
Caught in/between Objects, Employee Punctures Finger In Mechanical Power Press ,Single
Struck By Moving Objects, Employee Burns And Fractures Hand While Operating Foil Press ,Single
Struck By Moving Objects, Employee Amputates Fingers While Operating Microtome Machine ,Single
Other, Employee Thumb Is Amputated After Being Crushed ,Single
Other, Employee Injurs Finger In Power Press Accident ,Single
Caught in/between Objects, Employee Amputates Fingers When Caught In Hydraulic Press ,Single
Struck By Moving Objects, Employee'S Amputates Fingers In Machine ,Single
Fires and Explosion, Employee'S Fingers Are Injured When Caught In Press Brake ,Single
Fires and Explosion, Employee'S Fingers Are Amputated By Punch Press ,Single
Fires and Explosion, Employee Fractures His Hip After Falling From A Ladder ,Single
Fires and Explosion, Employee Playing Ball With Faculty Fractures Tibia And Fibul ,Single
Fires and Explosion, Employee Is Killed After Sliding Into Tree ,Single
Other, Employee Falls While Carrying Hot Tar And Is Burned ,Single
Other, Employee Is Killed In Fall From Elvated Height ,Single
Fires and Explosion, Employee Is Injured When Retaining Wall Collapses ,Single
Fires and Explosion, Employee Fractures Leg And Wrist In Fall From Truck Trailer ,Single
Fires and Explosion, Employee Is Injured In Fall From Fixed Building Ladder ,Single
Struck By Moving Objects, Employee Fractured Vertebra In Fall From Elevated Pallet ,Single
Fires and Explosion, Employee Is Killed In Footing Collapse ,Single
Fires and Explosion, Employee Fractures Leg And Foot When Leaving Forklift ,Single
Fires and Explosion, Employee Is Killed In Excavation Cave,Single
Other, Employee Dies In Fall ,Single
Struck By Moving Objects, Employee Is Injured When Struck By Loose Footing ,Single
Fires and Explosion, Employee Impaled By A Metal Stake In A Footing ,Single
Other, Employee Is Injured To Head In Fall From Ladder ,Single
Fires and Explosion, Employee Working As A Roofer Falls 15 Ft After Fosig Footing ,Single
Fires and Explosion, Employee Falls From Ladder And Is Injured ,Single
Struck By Moving Objects, Employee Forearm Fractures When Caught By Machine. ,Single
Fires and Explosion, Employee Catches Arm In Meat Grinder And Is Injured ,Single
Struck By Moving Objects, Worker Is Burned When Hot Tar Leaks Down From Roof ,Single
Suffocation, Employee Burns Arm In Steam Press ,Single
Struck By Moving Objects, Employee Fractures Forearm When Head On Machine Falls ,Single
Fires and Explosion, Employee Falls To Floor ,Single
Suffocation, Employee'S Arm Is Caught In Conveyor And Is Injured ,Single
Struck By Moving Objects, Employee Crushes Forearm In Machine Draw Rollers ,Single
Struck By Moving Objects, Employee Falls And Injures Elbow And Forearm ,Single
Suffocation, Employee'S Forearm Is Crushed By Shaker Arm Of Hopper ,Single
Electrocution, Painter Falls And Fractures Hand And Cuts Forehead ,Single
Falls, Painter Is Injured In Fall From Unstable Ladder ,Single
Electrocution, Roof Worker Sustains Multiple Injuries In Fall From Ladder ,Single
Electrocution, Employee Is Injured When Struck In The Forehead By A Truss ,Single
Electrocution, Employee Injures Forehead In Fall ,Single
Electrocution, Employee Is Killed At Work Site  Possible Heart Attack ,Single
Falls, Employee Is Injured In Fall From Ladder ,Single
Struck By Moving Objects, Falling Tree Kills Worker Instantly ,Single
Fires and Explosion, Employee Falls Stacking Boxes  Later Dies ,Single
Other, Employee Is Injured In Fall From Roof ,Single
Fires and Explosion, Employee Is Killed When Struck By Flying Object ,Single
Struck By Moving Objects, Employee Is Struck By Falling Tree Trunk  Later Dies ,Single
Struck By Moving Objects, Restaurant Worker Shredding Cheese Is Hurt When Machine Jams ,Single
Caught in/between Objects, Trim Press Operator Amputates Fingers ,Single
Other, Employee Experiences Heat Stroke  Later Dies ,Single
Falls, Employee'S Thigh Is Lacerated When Struck By Forklift ,Single
Struck By Moving Objects, Employee Dies While Operating Forging Machine ,Single
Fires and Explosion, Employee Is Burned After Explosion In Chemical Baking Oven ,Single
Other, Employee Sustains Minor Injuries From Formaldehyde Exposure ,Single
Falls, Employee Suffers From Formaldehyde Exposure ,Single
Suffocation, Employee Killed When Reactor Vessel Explodes ,Single
Falls, Employee'S Throat Closes After Formaldehyde Exposure ,Single
Falls, Allergy To Formaldehyde Leads To Worker'S Compensation Claim ,Single
Electrocution, Employee Exposed To Formalin Vapors ,Single
Electrocution, Employees Irritated By Formaldehyde Gas ,Multiple
Electrocution, Four Employees Exposed To Formaldehyde ,Multiple
Struck By Moving Objects, Employee Injured In Chemical Spill ,Single
Struck By Moving Objects, Formaldehyde Spilled When Railroad Tanker Derails ,Single
Other, Ten Employees Exposed To Toxic Vapors From Burning Plastic ,Multiple
Falls, Formaldehyde Spill ,Single
Struck By Moving Objects, Employee Fractures Foot When Forming Machine Overturns ,Single
Other, Employee Injures Chest Between Equipment Tables ,Single
Falls, Employee Fractures Arm When Pressurized Keg Breaks ,Single
Struck By Moving Objects, Employee'S Finger Is Amputated When Caught In Forming Press ,Single
Collapse of object, Construction Worker Dies Of Heat Stroke ,Single
Struck By Moving Objects, Cabinet Maker Lacerates Arm On Woodworking Machine ,Single
Struck By Moving Objects, Employee'S Hand Is Crushed In Downspout Forming Line ,Single
Struck By Moving Objects, Employee'S Fingers Amputated In Roll Forming Machine ,Single
Falls, Employee'S Arm Is Burned And Cut In Machinery ,Single
Struck By Moving Objects, Employee Crushes Four Fingers In Mold Forming Machine ,Single
Struck By Moving Objects, Employee Amputates Fingers In Packaging Machine ,Single
Struck By Moving Objects, Employee'S Thumb Amputated When Caught In Machine ,Single
Caught in/between Objects, Employee Injures Foot When Caught Between Pressure Rollers ,Single
Other, Employee Caught In Forming Machine And Fractures Fingers ,Single
Struck By Moving Objects, Three Employees Receives Injuries From Toxic Gas Exposure ,Multiple
Electrocution, Employee Amputes Fingers In Roll Forming Machine ,Single
Electrocution, Employee'S Arm Caught In Inrunning Rollers ,Single
Struck By Moving Objects, Employee'S Finger Is Crushed In Press Machine ,Single
